Real	Counterfactual
43	43
36	43
83	90
0	0
4	4
5	6
29	29
56	56
21	25
36	32
77	82
69	61
105	128
21	21
16	16
13	13
20	20
21	31
23	32
34	35
44	47
106	117
174	213
1	1
6	6
16	16
12	12
24	24
61	47
62	62
49	50
140	178
175	171
0	0
2	2
10	10
14	14
25	25
21	21
26	26
45	40
75	64
237	302
6	6
7	7
8	8
13	13
22	22
31	36
40	42
58	61
57	61
200	171
0	0
3	3
10	10
5	5
13	13
31	31
20	19
53	53
125	120
169	167
3	3
12	12
16	16
24	24
26	32
35	35
46	46
131	138
73	71
120	106
0	0
0	0
3	3
6	6
12	9
8	14
18	17
95	89
112	101
282	295
10	10
16	16
14	14
33	33
34	49
58	54
38	42
110	100
78	75
237	257
0	0
3	3
5	5
7	12
48	37
20	32
48	47
60	44
40	40
269	192
1	1
11	11
9	10
13	13
22	22
36	36
40	45
66	66
447	447
608	776
9	17
27	27
60	80
80	80
47	78
72	123
56	68
70	107
203	200
346	316
3	3
8	8
32	32
35	36
36	36
49	41
81	81
62	77
66	57
66	74
8	13
17	17
7	7
18	28
19	20
25	25
48	61
46	49
52	49
105	105
1	1
1	1
21	21
23	23
21	19
52	43
27	25
52	52
34	49
75	79
2	2
4	4
5	5
11	18
24	23
29	56
111	149
137	148
118	110
224	221
3	3
5	6
15	15
15	15
18	13
16	16
59	63
28	34
247	247
125	130
20	20
27	24
32	31
51	51
82	69
73	60
95	95
165	186
188	185
391	356
3	3
13	13
7	7
11	21
17	16
22	28
25	25
32	33
131	149
68	54
0	0
3	3
6	6
22	22
40	34
57	58
43	40
168	191
109	135
201	201
0	0
2	2
4	7
12	12
17	21
18	18
28	26
25	33
35	43
82	61
5	6
7	7
11	11
19	16
26	46
35	50
62	79
45	51
101	99
111	111
4	4
7	7
21	21
50	53
87	87
55	46
63	54
59	61
137	137
172	172
1	1
10	10
5	5
9	9
16	12
31	31
35	35
30	35
47	53
88	90
1	1
1	1
36	36
26	26
21	23
66	55
51	49
78	69
118	118
85	113
0	0
2	2
5	5
7	7
13	17
29	33
22	20
32	32
39	36
34	28
6	6
7	7
12	12
18	18
36	32
45	49
69	70
109	135
250	196
395	395
1	1
11	11
15	15
12	12
28	28
43	43
64	74
108	111
125	139
231	254
4	4
36	36
13	13
25	32
29	33
50	50
75	75
107	86
89	88
206	177
1	1
8	8
26	20
14	14
51	51
109	95
71	78
87	87
229	232
465	492
10	14
15	15
8	14
7	12
36	36
29	29
155	155
112	82
107	78
2325	2325
6	6
4	4
47	47
40	40
27	27
42	42
57	47
54	39
86	97
361	361
0	0
11	11
18	18
36	36
22	18
40	37
34	32
61	71
159	160
383	326
3	3
1	1
14	19
32	32
42	42
32	32
69	57
82	75
51	65
221	228
1	1
3	3
8	8
29	29
72	55
66	57
60	56
108	123
163	190
119	118
0	0
5	5
15	15
19	26
23	23
26	25
41	41
50	37
83	131
188	187
0	0
11	11
14	18
19	19
30	26
53	52
34	35
70	67
63	67
323	340
6	6
6	6
29	24
22	22
35	37
39	56
48	48
45	52
89	89
81	112
1	1
4	4
7	10
7	7
8	14
14	12
24	24
27	23
46	44
130	171
6	6
18	29
43	40
42	42
68	81
80	80
143	134
54	55
144	94
171	218
21	21
12	12
21	18
30	33
38	59
36	38
38	38
29	62
129	125
117	164
2	2
17	17
22	24
48	49
105	114
79	101
123	120
161	243
282	294
285	209
2	2
8	8
11	11
26	26
18	18
28	28
30	27
68	63
69	69
121	117
20	20
12	12
42	42
31	35
48	48
66	51
63	66
91	69
156	185
173	236
5	5
6	6
22	22
27	27
92	74
58	67
56	61
113	102
201	199
149	149
16	14
25	25
40	30
44	50
50	42
54	54
87	109
70	74
116	116
216	184
5	8
9	9
16	16
23	24
77	77
87	81
71	63
53	79
80	93
101	108
0	0
0	0
7	9
27	27
33	29
23	41
48	48
73	73
109	120
153	157
1	1
3	3
3	3
10	10
8	8
5	6
46	46
33	43
39	44
110	137
1	1
13	13
17	16
17	17
23	18
16	27
122	108
91	98
177	177
458	459
12	12
17	17
32	32
31	33
37	50
55	50
71	98
84	133
100	102
143	135
1	1
2	2
6	6
33	36
56	45
38	38
46	46
63	48
66	65
117	99
38	33
34	52
90	98
48	48
110	108
108	99
86	153
223	225
178	187
436	436
1	1
14	14
23	23
63	63
21	22
121	135
106	84
62	62
62	78
88	110
0	0
11	11
36	36
9	9
37	37
23	23
40	40
66	44
94	93
183	156
11	18
15	15
13	10
17	22
18	18
31	28
51	51
36	92
62	64
76	83
18	18
16	17
94	94
69	69
55	72
51	51
85	125
311	313
226	226
386	325
15	15
21	21
19	20
24	24
38	37
46	31
83	83
63	60
89	103
266	215
49	50
35	44
111	101
44	42
45	42
117	93
73	60
70	58
77	77
185	179
13	12
19	19
29	29
27	27
23	24
20	24
64	74
35	35
71	52
112	108
2	2
7	7
25	25
15	15
60	61
44	44
72	53
55	62
97	80
124	124
1	1
16	23
17	26
30	21
44	43
70	67
94	117
178	165
135	135
333	293
3	3
31	32
37	37
65	65
54	46
55	51
55	47
93	74
283	259
242	223
20	20
19	31
30	27
42	41
60	60
85	87
108	108
333	319
481	424
832	809
9	13
16	16
55	55
55	65
52	70
52	42
70	66
57	57
65	77
131	154
8	8
11	11
12	12
32	32
63	75
62	61
39	44
76	79
157	117
181	192
0	0
1	1
15	13
25	24
40	42
123	105
123	95
70	58
254	272
282	325
14	14
45	45
21	21
24	24
27	34
29	37
33	55
68	104
103	116
95	72
11	11
8	8
11	11
41	41
32	35
62	62
44	44
62	58
95	71
218	218
3	3
2	2
4	4
7	7
18	18
36	36
32	28
43	37
134	150
108	110
2	2
20	20
36	28
55	55
97	85
60	61
69	85
82	91
76	87
295	225
21	21
17	13
13	13
22	20
27	23
42	42
57	55
144	175
141	129
584	564
2	2
6	6
13	13
12	21
60	51
120	120
139	188
220	256
200	174
302	332
6	6
8	8
13	13
35	24
34	29
33	28
66	72
194	187
217	205
853	720
5	5
16	16
11	18
14	15
21	41
47	45
117	107
92	95
120	93
193	171
3	3
13	13
16	15
17	17
30	34
32	27
36	41
54	54
44	44
167	134
10	10
59	59
17	17
42	44
31	41
104	104
98	75
73	74
374	326
336	320
15	15
32	32
27	27
26	25
45	62
89	85
97	66
144	195
174	153
194	193
6	6
17	23
23	23
14	14
22	22
39	42
68	72
72	72
116	114
240	224
0	0
3	3
4	4
33	35
49	49
64	60
87	89
124	131
165	156
197	187
8	8
5	5
6	5
19	16
36	59
35	32
56	49
78	78
88	74
73	101
4	4
4	4
9	9
23	23
19	19
33	33
73	73
145	146
206	197
135	168
0	0
0	0
2	2
16	16
96	96
33	33
58	58
130	122
112	112
168	131
1	1
1	1
2	2
15	15
15	15
13	15
17	20
31	30
52	52
113	99
0	0
0	0
2	2
9	11
24	24
48	48
35	41
46	48
67	63
110	165
12	12
39	31
43	66
46	46
44	44
98	72
69	61
125	95
206	187
105	187
4	4
28	29
26	30
68	68
47	89
81	78
77	74
90	102
186	169
424	357
3	3
10	10
17	17
27	27
29	36
27	36
66	64
79	78
85	110
119	99
18	21
13	13
22	22
24	20
44	38
33	33
53	53
54	47
69	90
222	222
7	7
28	28
10	10
14	14
9	9
17	23
52	59
136	166
342	301
284	289
11	11
9	9
17	15
16	17
18	24
28	28
59	49
56	65
49	63
50	72
10	10
12	12
16	18
21	25
61	61
50	40
92	92
91	91
71	61
123	120
7	7
7	7
14	14
47	35
26	26
28	27
42	47
44	44
65	65
67	67
1	1
19	14
28	22
41	31
45	45
45	46
112	101
102	88
136	111
174	199
4	4
12	12
15	15
16	16
62	62
81	72
87	95
160	235
92	82
302	359
4	4
11	11
10	10
31	31
33	34
41	42
49	49
97	107
85	87
199	157
2	2
13	13
22	20
43	48
64	69
35	78
80	83
153	130
123	102
129	129
1	1
11	15
17	17
16	17
23	14
22	19
96	111
52	64
217	231
276	296
6	6
4	4
7	7
8	14
38	38
48	46
70	72
70	53
121	120
150	156
1	1
5	7
15	15
24	25
48	47
53	53
98	70
136	122
168	160
267	307
3	3
5	8
37	37
14	23
30	21
46	40
54	47
125	100
103	90
177	173
1	1
6	6
8	11
14	14
22	16
26	29
27	34
20	29
36	36
82	82
0	0
15	15
38	38
37	37
18	30
37	28
23	27
112	100
76	96
112	112
3	3
7	6
16	13
13	13
27	35
39	45
73	79
81	81
73	70
101	143
6	6
4	4
14	14
17	19
38	40
32	53
40	48
31	59
120	114
124	124
7	7
20	20
10	17
20	20
31	23
32	32
35	40
45	55
42	68
128	132
1	1
7	7
16	14
20	20
25	31
29	24
42	30
73	68
274	242
406	384
16	16
25	25
21	21
25	25
27	27
88	88
123	105
90	98
175	173
398	357
0	0
3	3
23	21
121	121
35	35
68	64
93	80
80	77
123	117
338	266
10	10
33	33
28	28
36	38
71	72
80	77
60	86
36	73
81	96
99	99
4	4
10	10
10	10
24	24
31	26
22	22
86	86
60	104
149	145
182	183
2	2
7	7
37	37
32	32
50	50
58	59
66	66
115	99
68	95
303	303
2	2
4	4
3	3
9	9
9	8
18	18
33	34
20	20
48	48
39	39
1	1
9	10
9	9
46	46
48	42
70	59
99	105
60	58
178	166
192	220
3	3
7	7
23	23
11	11
94	94
54	43
95	80
102	135
156	192
297	248
6	10
11	11
9	21
15	15
18	33
26	30
21	26
89	92
103	82
522	521
2	2
3	3
8	7
23	23
30	30
23	16
26	27
42	39
74	76
187	194
7	7
28	28
24	24
30	27
94	94
56	65
52	52
105	74
69	92
107	135
1	1
3	3
52	57
70	62
47	55
58	68
129	108
70	62
163	164
885	811
1	1
3	3
27	26
68	56
43	45
55	60
87	87
163	163
128	118
331	336
1	1
1	1
20	20
21	21
37	37
62	58
45	51
105	116
156	113
221	239
5	5
8	8
9	15
53	64
23	23
43	43
58	47
69	69
49	50
66	64
0	0
1	1
10	10
9	9
18	18
22	22
26	26
24	24
30	30
114	120
2	2
6	6
38	29
30	32
38	29
66	54
77	74
88	88
163	128
121	121
6	6
11	11
58	66
91	85
47	75
90	87
128	113
231	266
227	196
376	371
2	2
3	5
7	7
16	16
33	33
22	23
35	35
20	19
26	51
43	44
1	1
10	10
9	9
20	18
46	46
16	16
44	44
63	48
114	113
328	278
6	6
6	10
8	8
14	19
11	18
29	23
28	28
27	35
42	42
82	101
0	0
3	3
15	27
24	23
37	39
46	42
75	87
178	169
151	122
243	281
3	3
8	8
67	67
24	24
44	42
71	74
79	67
104	65
68	68
152	126
4	7
15	15
12	13
16	19
21	23
22	38
43	60
42	45
92	97
110	109
9	9
14	22
15	15
18	18
29	29
48	48
31	27
66	63
64	89
135	121
0	0
1	1
1	1
1	1
4	4
19	20
27	23
61	61
58	39
52	56
11	11
19	19
20	25
44	35
32	25
51	51
61	76
81	81
79	122
160	174
3	3
11	11
45	45
18	18
203	203
79	79
133	129
66	83
165	151
158	138
1	1
5	5
4	4
10	10
16	16
14	15
28	47
43	48
138	120
100	98
5	5
26	26
21	18
17	17
28	28
50	47
78	73
84	87
191	156
220	178
0	0
1	1
0	0
3	3
6	6
10	10
11	17
29	41
30	32
43	40
1	1
4	4
7	7
13	13
57	57
64	64
57	67
107	90
200	197
203	294
7	7
12	12
21	21
41	41
43	45
79	79
70	52
64	64
65	104
146	154
1	1
1	1
2	2
4	4
44	52
29	38
36	36
51	51
206	187
381	385
0	0
2	2
15	15
36	36
15	46
23	25
58	56
64	64
129	130
114	107
5	5
6	6
15	15
14	16
22	22
26	24
29	28
72	72
89	128
65	69
0	0
3	3
10	10
36	27
35	36
47	47
92	76
99	99
136	132
246	376
1	1
2	2
15	15
11	11
32	32
38	38
44	46
95	95
201	238
422	382
0	0
1	1
4	4
18	18
16	22
20	20
50	36
36	35
70	70
69	73
1	1
14	14
19	19
61	63
50	55
48	74
156	156
207	197
89	87
472	445
2	2
8	8
6	6
12	12
14	19
15	19
35	35
45	50
56	49
142	142
7	7
9	9
10	10
40	40
54	58
73	71
117	115
87	82
247	248
303	370
4	4
11	11
23	23
14	24
18	18
25	25
41	41
39	51
29	62
91	91
1	1
5	9
11	11
16	21
28	24
32	31
100	81
62	76
91	149
159	159
1	1
12	12
16	20
19	19
24	38
60	60
60	46
45	47
138	133
245	199
0	0
19	16
31	24
25	31
36	35
67	58
57	73
101	108
174	142
118	115
0	0
12	12
5	8
4	4
11	11
11	10
23	16
46	39
35	33
79	57
4	4
7	7
22	27
19	20
19	27
49	61
35	47
39	40
46	52
166	165
9	9
16	16
21	21
51	37
123	121
137	113
157	142
164	164
118	169
174	164
8	11
18	18
31	31
36	43
104	72
89	107
146	117
89	116
101	101
162	161
20	20
26	26
19	19
25	25
37	23
31	38
58	100
114	114
53	76
486	460
0	0
3	3
20	20
12	12
29	29
44	44
69	69
99	132
130	194
209	176
1	1
8	8
13	13
15	19
50	57
30	55
46	47
110	161
176	168
230	208
4	4
16	16
27	41
51	51
74	57
55	63
73	72
219	202
267	316
164	163
2	2
7	7
15	10
18	19
30	65
92	92
62	62
84	89
149	146
302	302
0	0
2	2
8	14
10	10
29	30
22	22
42	45
37	48
75	57
174	167
3	3
9	9
10	10
11	13
10	19
16	16
16	27
35	35
32	36
269	272
3	3
10	17
23	23
17	17
25	25
66	66
58	59
45	45
42	59
53	60
0	0
4	4
17	14
48	50
42	42
50	44
80	51
82	91
121	77
166	160
3	3
7	7
6	6
96	96
33	41
67	71
55	62
68	56
121	109
101	86
4	4
4	4
12	9
15	19
10	18
18	16
31	31
25	39
86	86
84	91
11	11
22	27
26	25
34	34
23	23
38	41
59	142
187	225
148	151
439	410
3	3
13	13
11	17
28	28
38	38
55	55
36	36
54	61
109	117
202	164
10	10
11	11
30	30
36	30
49	52
68	76
68	73
60	82
99	105
223	257
0	0
0	0
14	14
19	19
30	30
43	66
89	89
65	63
73	79
84	97
0	0
1	1
17	23
17	20
36	40
62	68
61	67
85	67
157	168
152	142
3	3
7	7
24	21
21	21
22	31
86	70
72	73
195	180
173	148
266	427
1	1
7	7
18	18
9	9
22	33
40	40
38	27
54	54
203	306
175	184
0	0
4	7
21	38
23	30
52	36
54	58
110	110
146	134
143	266
167	203
1	1
10	10
7	7
21	21
18	20
23	35
41	41
45	81
112	112
139	154
4	4
9	9
14	14
42	43
47	29
23	46
48	43
65	67
232	196
259	353
1	1
7	7
7	7
12	12
17	17
12	12
27	27
26	26
16	31
202	305
6	6
15	15
9	16
8	8
28	28
16	16
13	15
51	51
233	233
141	117
5	5
5	5
7	7
14	14
22	22
49	49
17	17
31	26
28	37
40	40
0	0
6	6
5	5
15	15
12	12
23	25
52	52
72	86
120	123
397	434
1	1
9	9
31	34
34	37
49	49
57	45
58	65
85	129
162	135
167	173
0	0
1	1
4	4
28	22
46	46
42	53
33	91
118	127
119	122
105	118
0	0
3	3
4	4
9	9
9	9
11	11
6	9
17	17
39	39
21	33
4	4
8	8
18	15
23	23
42	42
42	42
36	36
34	45
35	37
61	61
24	28
24	24
49	51
69	76
46	49
82	74
151	132
78	76
119	94
107	107
8	8
6	6
11	11
14	14
14	14
23	23
38	46
248	209
167	175
682	603
0	0
4	4
9	9
12	17
23	23
25	37
21	21
58	67
59	77
113	110
2	2
11	11
14	14
16	16
16	16
24	24
35	35
41	47
43	47
93	95
10	10
13	29
17	19
40	38
58	58
61	65
151	151
108	109
132	152
302	295
8	8
11	11
37	37
46	41
76	60
45	52
91	117
204	212
553	512
578	408
1	1
5	5
8	8
10	10
12	15
37	37
21	21
197	145
125	125
158	141
1	1
7	7
11	8
16	16
28	28
14	14
30	31
57	55
45	39
67	57
1	1
3	3
4	4
10	10
28	28
12	12
17	16
17	21
28	28
141	174
6	6
6	6
3	5
15	15
22	22
20	17
22	23
60	60
62	62
98	108
0	0
6	6
11	11
9	14
17	17
20	31
18	17
44	44
54	41
100	100
9	9
23	32
26	27
40	43
31	31
104	106
75	78
84	102
125	114
247	331
0	0
1	1
2	2
9	9
16	16
16	16
19	19
30	30
68	68
84	84
0	0
3	3
13	16
27	27
36	36
77	99
96	88
85	77
104	174
315	264
11	21
21	21
35	30
27	41
66	118
48	48
93	87
108	113
121	139
169	162
6	6
2	2
2	2
7	7
23	23
16	28
52	52
59	67
152	137
142	169
2	2
18	18
35	46
37	37
96	90
76	60
76	93
92	92
88	71
210	174
10	10
14	14
12	11
14	14
21	21
47	38
31	31
75	73
71	86
72	95
5	9
15	10
15	15
32	24
27	27
43	31
68	66
83	80
69	62
48	48
4	4
10	10
6	18
15	15
12	16
20	30
25	20
38	38
85	78
90	77
12	14
21	25
24	24
65	63
76	71
86	86
103	115
136	101
118	94
189	202
8	8
16	16
21	31
54	54
52	61
50	50
57	52
67	69
67	67
202	176
5	8
11	12
20	20
13	13
29	27
56	39
152	154
276	262
243	222
385	327
7	7
9	10
13	10
14	14
18	25
16	16
25	25
39	37
74	76
201	233
6	6
12	15
15	20
16	14
21	21
51	65
30	35
56	49
109	109
168	184
3	3
12	12
20	20
21	21
46	46
37	37
32	32
88	72
241	235
361	308
8	8
7	7
8	9
13	26
48	48
43	74
56	85
66	56
69	123
103	107
1	1
3	3
3	3
10	10
5	5
26	25
35	35
53	72
62	47
104	104
4	4
7	7
8	8
14	14
8	8
10	10
19	19
24	25
29	28
27	27
13	13
46	46
24	24
13	13
23	23
45	39
60	60
35	39
69	69
181	127
6	6
11	11
29	29
45	45
24	24
21	24
17	30
46	46
41	41
208	221
10	10
44	44
66	51
149	132
105	108
117	92
106	175
149	158
156	155
195	175
6	6
8	8
30	30
24	24
36	31
26	26
80	91
59	55
182	182
200	234
0	0
21	21
14	14
21	32
92	92
38	33
39	39
77	90
89	66
122	130
12	12
9	9
22	22
14	21
23	35
54	33
87	72
95	104
99	95
261	251
8	18
17	17
24	24
14	19
18	18
33	46
39	35
50	76
67	73
62	99
16	16
51	51
17	17
25	24
26	26
67	52
53	59
49	54
57	83
86	96
1	1
3	3
9	9
24	17
45	45
30	30
32	31
33	35
59	56
67	75
0	0
0	0
11	16
21	17
27	31
114	114
30	42
74	74
64	58
118	131
4	4
5	5
13	13
16	16
19	30
52	59
90	106
98	89
76	86
182	161
5	5
7	6
11	11
10	10
13	22
28	46
82	89
105	131
135	135
580	566
7	7
17	17
15	15
16	25
32	32
66	66
19	16
50	53
116	112
152	127
0	0
6	10
27	27
34	28
28	28
72	50
76	83
75	83
70	70
177	180
15	15
27	29
30	30
34	37
50	35
114	114
117	117
215	234
183	179
526	492
4	4
6	6
13	13
36	36
13	13
29	29
35	36
63	55
192	191
274	292
7	7
8	8
16	21
94	94
23	25
106	106
21	46
40	40
86	94
64	54
29	29
24	24
15	15
22	21
55	45
58	48
40	36
55	42
59	54
79	69
1	1
14	23
22	41
35	35
30	38
29	29
39	52
43	43
84	128
151	157
9	9
20	20
16	16
58	48
56	58
66	69
166	166
124	128
146	193
511	504
1	1
9	9
21	21
10	12
29	29
60	56
55	49
103	84
52	65
152	143
3	3
4	4
8	8
19	19
16	16
14	14
97	97
65	65
53	56
94	104
3	3
4	7
5	7
17	17
32	25
136	136
54	45
138	135
192	156
247	276
1	1
9	9
10	10
18	18
24	22
49	49
43	47
57	70
106	90
69	82
4	4
10	10
45	45
15	14
59	58
57	61
58	98
84	95
170	150
130	121
1	1
4	4
8	8
13	16
22	30
40	36
29	31
36	46
51	42
122	90
6	6
30	30
26	20
26	28
21	21
43	51
63	58
97	97
154	154
95	104
0	0
6	6
15	15
16	16
23	23
23	23
25	25
62	62
49	55
178	136
15	15
21	21
21	21
57	67
39	35
63	65
97	78
93	100
147	145
203	230
6	6
12	18
16	16
19	23
43	44
43	43
97	86
81	81
126	126
281	232
0	0
6	6
10	10
15	18
31	26
58	49
54	48
48	52
115	121
209	197
3	3
4	4
9	17
28	29
48	48
29	29
81	74
71	106
116	115
177	159
11	11
33	33
28	29
24	27
52	77
67	87
52	54
54	61
82	82
123	189
6	6
11	10
14	21
48	48
27	23
30	39
52	56
119	100
104	104
100	110
0	0
6	6
12	16
26	26
30	30
23	23
32	37
52	60
80	56
376	371
0	0
0	0
7	7
15	15
42	42
43	43
42	42
108	104
74	74
104	126
1	1
3	3
13	13
13	23
45	35
48	48
59	58
66	66
172	169
185	216
8	7
21	12
24	18
15	15
38	36
26	26
52	44
91	104
119	102
129	127
10	10
12	17
10	10
28	19
43	38
23	23
40	45
138	137
193	191
391	327
14	17
28	33
42	40
77	77
146	141
85	67
137	99
105	113
144	146
211	217
2	2
3	5
9	7
10	10
8	13
19	19
40	58
38	39
39	39
86	86
1	1
3	3
12	12
25	38
25	25
32	32
95	76
92	90
135	104
223	274
9	9
28	28
18	21
29	23
43	72
35	35
70	70
109	91
112	112
143	106
4	4
7	7
15	15
14	18
45	45
40	46
38	52
41	50
90	103
50	100
4	4
9	9
12	12
10	12
10	10
22	23
57	57
57	68
144	162
315	285
2	2
5	5
10	9
18	18
19	19
65	65
43	51
67	66
55	55
126	112
11	11
11	14
36	36
29	29
46	48
56	47
57	76
202	168
134	143
387	373
3	3
7	7
15	15
69	69
66	81
115	115
116	103
89	90
122	129
228	182
0	0
1	1
20	20
19	29
47	47
20	20
76	65
69	61
40	48
64	64
0	0
1	1
3	3
12	12
19	19
22	27
43	35
35	35
55	79
131	140
0	0
0	0
5	6
21	21
14	14
27	27
41	41
74	70
84	119
131	101
0	0
8	8
12	15
18	18
26	26
43	43
39	45
80	80
149	149
119	119
0	0
11	11
49	46
33	67
32	44
71	64
82	81
89	123
92	72
384	342
1	1
8	8
14	16
32	32
34	34
71	61
50	50
54	54
227	241
280	224
10	15
17	14
37	36
52	52
44	30
113	98
76	98
103	133
143	159
329	321
3	3
6	6
10	10
16	16
23	23
47	51
151	152
103	88
178	218
278	340
4	4
11	9
26	26
74	75
104	103
50	51
46	56
56	52
79	57
84	90
0	0
6	6
8	8
7	7
7	7
11	11
20	20
20	23
75	75
45	38
15	18
19	25
37	37
44	50
31	31
55	61
52	52
35	47
350	350
184	249
3	3
9	9
12	12
29	29
49	49
70	61
45	58
61	61
45	73
267	372
0	0
0	0
3	3
7	7
16	18
35	64
40	39
85	100
129	98
102	87
2	2
12	11
16	31
18	18
24	27
26	24
50	50
40	40
47	66
235	217
7	7
14	15
24	36
30	28
56	42
52	73
55	48
77	58
97	97
117	175
3	3
15	15
35	35
54	51
34	34
33	32
57	57
184	184
260	204
272	214
1	1
5	5
29	29
18	19
18	13
52	53
59	74
62	60
131	159
315	265
0	0
10	10
21	21
18	24
27	28
41	38
47	33
37	30
27	45
124	130
1	1
5	8
15	15
9	9
13	16
10	14
21	15
56	54
69	91
91	116
12	12
8	8
12	16
40	40
25	28
63	64
108	110
94	97
215	176
169	143
20	23
21	25
24	24
58	57
43	43
116	116
58	67
80	51
55	56
150	138
4	4
6	6
11	11
14	14
23	26
31	66
51	50
93	92
250	250
165	266
1	1
5	9
11	11
36	36
48	46
75	75
102	79
92	84
100	100
450	450
0	0
4	4
7	7
6	5
19	19
78	78
34	44
71	76
152	172
258	231
0	0
1	1
1	1
2	2
2	2
20	17
47	55
120	120
113	113
169	159
8	8
29	29
27	22
26	39
35	33
50	42
42	39
89	101
159	155
204	154
0	0
5	5
16	16
19	15
13	13
39	47
64	66
39	63
80	91
132	135
1	1
8	11
14	20
28	28
31	31
63	63
51	45
80	77
83	120
119	115
3	3
13	13
21	37
23	23
58	58
46	72
80	67
72	69
163	129
202	166
0	0
3	3
4	4
4	4
6	6
16	19
30	37
44	41
38	31
51	49
3	3
6	6
10	10
8	8
13	26
41	41
22	22
119	190
245	274
153	160
7	7
21	21
10	10
15	16
16	17
40	36
45	45
43	54
64	63
531	530
5	5
9	9
8	8
10	10
29	29
28	30
16	26
46	46
102	74
332	333
0	0
2	2
4	4
13	17
32	32
68	68
87	87
42	42
85	85
324	302
8	8
13	13
15	15
31	31
18	22
41	29
102	107
113	115
165	109
515	556
4	4
11	11
11	15
8	11
11	11
33	33
35	35
30	30
70	56
72	72
4	4
5	5
19	19
12	12
59	59
23	47
70	58
55	49
269	286
383	361
0	0
8	8
21	21
78	78
31	31
40	44
46	43
138	138
97	86
79	102
1	1
4	4
13	8
16	20
36	49
100	100
98	98
184	243
101	100
147	126
3	3
3	3
6	6
19	39
51	42
112	109
76	76
59	81
163	237
216	245
3	3
19	16
15	34
35	35
27	51
29	31
66	83
99	76
205	220
413	415
3	3
3	3
3	5
14	14
22	25
59	66
62	95
95	97
125	126
262	200
4	4
8	8
14	16
33	33
27	28
84	84
109	109
56	56
137	107
173	136
37	37
25	21
29	29
88	88
76	76
130	104
94	90
115	146
240	263
509	489
5	5
9	9
23	23
38	38
88	89
111	111
89	81
67	67
106	95
168	133
1	1
2	2
8	8
10	10
25	29
26	30
70	70
62	57
103	100
101	101
17	17
16	16
26	26
19	19
41	41
43	38
57	59
71	134
169	186
452	463
0	0
8	8
10	10
13	12
28	43
20	28
87	82
92	102
104	106
253	332
1	1
10	13
30	35
94	94
53	70
65	65
86	109
156	134
294	294
332	287
10	10
32	22
41	39
47	54
83	68
43	43
73	60
76	69
97	128
302	386
9	9
10	10
21	21
21	25
22	33
52	42
68	67
165	165
104	112
141	158
1	1
3	3
2	2
18	18
28	28
39	39
29	36
26	30
42	46
202	161
0	0
2	2
20	21
43	49
42	42
55	54
67	47
51	63
154	150
309	311
8	20
29	25
25	25
32	26
31	25
53	53
83	93
71	54
196	178
226	208
3	5
15	22
15	15
73	77
46	46
123	105
189	168
101	106
177	140
850	916
0	0
3	3
9	9
22	22
29	27
30	30
41	42
57	76
189	154
178	181
1	1
10	10
21	18
14	14
25	26
81	68
85	102
65	81
146	124
309	365
10	10
14	13
12	12
41	41
52	58
63	66
135	135
82	82
211	198
177	140
3	3
11	11
9	14
8	8
